year,name,value
2002,SocialEngineering,42
2002,Reconnaissance,0
2002,Malware,0
2002,CredentialPhishing,3
2003,SocialEngineering,253
2003,Reconnaissance,2
2003,Malware,1
2003,CredentialPhishing,29
2004,SocialEngineering,334
2004,Reconnaissance,10
2004,Malware,2
2004,CredentialPhishing,21
2005,SocialEngineering,271
2005,Reconnaissance,5
2005,Malware,1
2005,CredentialPhishing,34
2006,SocialEngineering,586
2006,Reconnaissance,13
2006,Malware,4
2006,CredentialPhishing,95
2007,SocialEngineering,214
2007,Reconnaissance,8
2007,Malware,2
2007,CredentialPhishing,41
