20_to_25,25_to_30,30_to_35,35_to_40,40_to_45
459.0,439.0,518,476.0,293.0
396.0,476.0,633,458.0,312.0
322.0,344.0,345,458.0,0.0
322.0,448.0,0,345.0,217.0
246.0,159.0,892,569.0,366.0
116.0,551.0,499,792.0,199.0
12.0,430.0,480,445.0,348.0
726.0,560.0,367,316.0,390.0
324.0,531.0,312,465.0,464.0
465.0,576.0,792,453.0,228.0
0.0,485.0,352,434.0,871.0
356.0,400.0,700,481.0,173.0
554.0,394.0,342,0.0,734.0
384.0,548.0,440,523.0,376.0
544.0,0.0,418,302.0,434.0
138.0,302.0,0,480.0,265.0
636.0,144.0,387,250.0,533.0
5.0,350.0,456,609.0,378.0
348.0,522.0,398,0.0,533.0
264.0,304.0,440,792.0,420.0
0.0,443.0,421,0.0,312.0
0.0,0.0,530,550.0,237.0
0.0,620.0,461,531.0,270.0
298.0,94.0,770,589.0,65.0
0.0,328.0,0,501.0,3.0
442.0,253.0,463,395.0,530.0
137.0,44.0,377,359.0,122.0
484.0,258.0,255,316.0,412.0
291.0,512.0,0,394.0,164.0
183.0,0.0,424,0.0,224.0
321.0,212.0,700,0.0,223.0
331.0,277.0,577,437.0,44.0
392.0,320.0,345,553.0,568.0
292.0,316.0,451,501.0,237.0
0.0,386.0,577,393.0,74.0
0.0,298.0,521,0.0,304.0
497.0,797.0,341,0.0,213.0
608.0,300.0,489,436.0,1232.0
0.0,1.0,315,318.0,389.0
668.0,430.0,368,0.0,438.0
400.0,423.0,195,589.0,153.0
355.0,330.0,1,523.0,355.0
920.0,371.0,133,458.0,156.0
371.0,86.0,600,88.0,0.0
268.0,184.0,133,412.0,483.0
619.0,289.0,423,388.0,513.0
351.0,432.0,416,313.0,471.0
0.0,284.0,294,304.0,0.0
247.0,374.0,436,389.0,0.0
468.0,0.0,0,262.0,489.0
627.0,505.0,364,252.0,0.0
520.0,0.0,364,182.0,0.0
294.0,0.0,311,642.0,268.0
469.0,414.0,212,0.0,0.0
536.0,405.0,441,377.0,0.0
292.0,376.0,544,343.0,0.0
292.0,468.0,492,782.0,0.0
253.0,51.0,560,258.0,0.0
7.0,0.0,520,224.0,0.0
347.0,319.0,424,463.0,0.0
260.0,247.0,520,323.0,0.0
42.0,463.0,437,0.0,0.0
379.0,331.0,471,463.0,0.0
33.0,390.0,357,764.0,0.0
210.0,355.0,573,331.0,0.0
0.0,237.0,481,451.0,0.0
0.0,1.0,453,700.0,0.0
2.0,330.0,453,0.0,0.0
0.0,456.0,322,303.0,0.0
0.0,463.0,210,280.0,0.0
0.0,503.0,551,199.0,0.0
0.0,423.0,421,578.0,0.0
0.0,483.0,363,482.0,0.0
0.0,390.0,385,494.0,0.0
0.0,144.0,376,195.0,0.0
0.0,0.0,367,456.0,0.0
0.0,441.0,505,134.0,0.0
0.0,576.0,512,0.0,0.0
0.0,503.0,180,390.0,0.0
0.0,203.0,385,297.0,0.0
0.0,0.0,277,306.0,0.0
0.0,386.0,559,0.0,0.0
0.0,536.0,283,438.0,0.0
0.0,160.0,420,568.0,0.0
0.0,381.0,453,442.0,0.0
0.0,808.0,259,659.0,0.0
0.0,0.0,283,426.0,0.0
0.0,516.0,499,290.0,0.0
0.0,127.0,35,433.0,0.0
0.0,211.0,543,0.0,0.0
0.0,8.0,543,441.0,0.0
0.0,376.0,0,599.0,0.0
0.0,0.0,291,463.0,0.0
0.0,310.0,284,509.0,0.0
0.0,508.0,0,472.0,0.0
0.0,200.0,407,93.0,0.0
0.0,564.0,237,379.0,0.0
0.0,388.0,420,624.0,0.0
0.0,191.0,838,360.0,0.0
0.0,128.0,462,532.0,0.0
0.0,16.0,323,391.0,0.0
0.0,412.0,273,435.0,0.0
0.0,437.0,14,484.0,0.0
0.0,601.0,306,739.0,0.0
0.0,369.0,291,426.0,0.0
0.0,295.0,341,0.0,0.0
0.0,465.0,278,328.0,0.0
0.0,337.0,715,477.0,0.0
0.0,262.0,320,289.0,0.0
0.0,481.0,347,541.0,0.0
0.0,421.0,457,0.0,0.0
0.0,209.0,240,778.0,0.0
0.0,363.0,434,482.0,0.0
0.0,178.0,399,482.0,0.0
0.0,290.0,425,487.0,0.0
0.0,0.0,315,550.0,0.0
0.0,297.0,584,522.0,0.0
0.0,483.0,345,363.0,0.0
0.0,0.0,399,477.0,0.0
0.0,501.0,227,477.0,0.0
0.0,505.0,398,477.0,0.0
0.0,11.0,0,0.0,0.0
0.0,319.0,384,453.0,0.0
0.0,223.0,209,279.0,0.0
0.0,0.0,0,245.0,0.0
0.0,425.0,0,273.0,0.0
0.0,347.0,153,492.0,0.0
0.0,0.0,0,453.0,0.0
0.0,0.0,200,0.0,0.0
0.0,0.0,0,227.0,0.0
0.0,0.0,387,306.0,0.0
0.0,0.0,526,448.0,0.0
0.0,0.0,485,469.0,0.0
0.0,142.0,229,484.0,0.0
0.0,321.0,338,322.0,0.0
0.0,902.0,430,0.0,0.0
0.0,195.0,296,512.0,0.0
0.0,333.0,94,463.0,0.0
0.0,467.0,338,335.0,0.0
0.0,395.0,196,1314.0,0.0
0.0,332.0,396,551.0,0.0
0.0,477.0,615,421.0,0.0
0.0,449.0,399,421.0,0.0
0.0,0.0,314,400.0,0.0
0.0,461.0,137,338.0,0.0
0.0,699.0,139,355.0,0.0
0.0,598.0,457,0.0,0.0
0.0,288.0,376,159.0,0.0
0.0,301.0,353,551.0,0.0
0.0,0.0,0,507.0,0.0
0.0,0.0,556,514.0,0.0
0.0,459.0,0,368.0,0.0
0.0,379.0,0,545.0,0.0
0.0,461.0,214,593.0,0.0
0.0,381.0,170,502.0,0.0
0.0,378.0,260,433.0,0.0
0.0,368.0,358,331.0,0.0
0.0,354.0,523,505.0,0.0
0.0,355.0,0,512.0,0.0
0.0,427.0,2121,0.0,0.0
0.0,422.0,203,0.0,0.0
0.0,368.0,4,489.0,0.0
0.0,375.0,263,0.0,0.0
0.0,375.0,173,392.0,0.0
0.0,331.0,134,441.0,0.0
0.0,402.0,0,583.0,0.0
0.0,284.0,610,440.0,0.0
0.0,216.0,440,315.0,0.0
0.0,0.0,299,355.0,0.0
0.0,0.0,545,478.0,0.0
0.0,433.0,94,478.0,0.0
0.0,543.0,438,282.0,0.0
0.0,497.0,106,408.0,0.0
0.0,237.0,583,408.0,0.0
0.0,322.0,405,395.0,0.0
0.0,97.0,495,593.0,0.0
0.0,2.0,284,593.0,0.0
0.0,191.0,284,0.0,0.0
0.0,242.0,634,445.0,0.0
0.0,299.0,267,391.0,0.0
0.0,347.0,473,365.0,0.0
0.0,188.0,384,478.0,0.0
0.0,125.0,302,501.0,0.0
0.0,294.0,185,384.0,0.0
0.0,489.0,228,476.0,0.0
0.0,395.0,1929,166.0,0.0
0.0,119.0,427,206.0,0.0
0.0,0.0,0,476.0,0.0
0.0,402.0,428,137.0,0.0
0.0,260.0,485,0.0,0.0
0.0,495.0,356,278.0,0.0
0.0,300.0,460,392.0,0.0
0.0,512.0,327,409.0,0.0
